name,category,country,latitude,longitude,image_url
Mosque de Treichville,,Cote d'Ivoire,5.3079648,-4.0109253,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3108825,-4.0090039,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée du Koweit,,Cote d'Ivoire,5.3220854,-4.0510134,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3398549,-4.0290213,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3399791,-4.0291091,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3400485,-4.0267548,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.340176,-4.029148,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Aicha,,Cote d'Ivoire,5.340182,-4.0294625,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3406414,-4.0287007,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée du centre rawyan de Yopougon,,Cote d'Ivoire,5.3153092,-4.1048061,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3173028,-4.0907335,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Al Fourquane,,Cote d'Ivoire,5.3183267,-4.1120833,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Aicha Niangon Sud de Yopougon,sunni,Cote d'Ivoire,5.3264295,-4.0885292,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Sikasso,muslim,Cote d'Ivoire,5.3093457,-4.0523625,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Carrefour Lycée,,Cote d'Ivoire,5.3260553,-4.0739022,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquee de Toits-Rouges,,Cote d'Ivoire,5.3299995,-4.0550711,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3303231,-4.0806546,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.332703,-4.0682942,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3329861,-4.068431,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3362349,-4.0744063,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Après le pont,,Cote d'Ivoire,5.3363925,-4.0733716,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Après le pont,,Cote d'Ivoire,5.3368959,-4.073271,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3369593,-4.0755254,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3388394,-4.078154,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
El hadj Mory Doumbia,,Cote d'Ivoire,5.339227,-4.0635839,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3405135,-4.0771017,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3421963,-4.0761383,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.342226,-4.0777821,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Bamba,,Cote d'Ivoire,5.3434288,-4.0776785,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Espace Islamique,,Cote d'Ivoire,5.3436511,-4.0708751,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Kenya,,Cote d'Ivoire,5.3468217,-4.072864,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée UOSMANE,,Cote d'Ivoire,5.3472029,-4.0798612,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3472556,-4.0790559,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Al-Mouya Hidine,,Cote d'Ivoire,5.3428953,-4.1033721,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
